#Chinese	#English
心有大千	Embrace the World with Your Heart
心中有佛	Be Mindful of the Buddha
"心中有佛將心念
念得心空及第歸"	"The mind has the Buddha so recite Buddha with the mind;
Recite until the mind is empty and thus true attainment gained."
新寶橋	“new” Treasure Bridge
新春法會	Lunar New Year Dharma Service
新戒菩薩	new preceptee bodhisattvas
"新四化的想法
1. 會務制度化
2. 信仰專一化
3. 活動藝文化
4. 運用現代化"	"Four New Trends:
1. Systemization of the Association’s Affairs;
2. Unification of Beliefs;
3. Art and Literature for Activities;
4. Modernization of Application"
信受奉行	believe in, accept, and uphold the Dharma
信為道源功德母，長養一切諸善根	Faith is the mother of all merits which nurtures all roots of virtue.
"星雲大師紀念學術論壇—
佛教海線絲綢之路暨
佛陀紀念館十周年新書發布會"	Venerable Master Hsing Yun Memorial Academic Conference—Buddhist Maritime Silk Road and Fo Guang Shan Buddha Museum 10th Anniversary Book Launch Conference
"星雲大師人間佛教
理論實踐研究學術研討會"	Academic Conference on the Theory and Practice of Venerable Master Hsing Yun’s Humanistic Buddhism
星雲大師影音弘法	“Venerable Master Hsing Yun’s Audiovisual Dharma Teachings”
星雲大師雲端隨身聽	“Master Hsing Yun’s Audio Book”
星雲說喻中英對照版	Bodhi Light Tales
星雲文化教育公益基金會	Master Hsing Yun Public Education Trust Fund
行道天下　福滿人間	Every Journey in this World Is a Path to Happiness
行腳雲遊	learning through travel
"修福不修慧，大象披瓔珞
修慧不修福，羅漢應供薄"	"To cultivate merit without developing wisdom is like an elephant wearing a jewel necklace.
To develop wisdom without cultivating merit is like an arhat who rarely receives offerings."
修行要修心	Practicing the Dharma requires cultivating the mind.
"修行則勤勞暫時，安樂永劫
懈怠則偷安一世，受苦多生"	"Temporary is the arduousness of spiritual cultivation, prevalent is the arosen diligence, and forever the tranquility.
Laziness may win a lifetime of ease, only to be followed by many lifetimes of suffering."
延生普佛	Longevity Dharma Service
"眼睛沒有心，就視而不見
耳朵沒有心，就聽而不聞"	Without the mind, one sees with a blind eye and hears with a deaf ear.
要學佛道，先結人緣	Before one learns the Buddha’s Way, one must first form affinities with others.
藥師法會	Medicine Buddha Dharma Service
依止大和尚	Refuge Master
一步登天	instant accomplishment
一個不算少，萬億個不算多	One is not necessarily less, and neither is a billion many.
"一個人寧可以什麼都沒有，
但是不能沒有慈悲"	One can be without anything, but never without kindness and compassion.
一就是多，多就是一	One is many, many are one.
一念不生	1. Not a Single Thought Arising; 2. Not a Single Thought That Arises
"一念生淨信者，如來悉知悉見
是諸眾生得如是無量福德"	For a person who has one thought of pure belief, the Tathagata fully knows and fully sees that those sentient beings will attain such limitless merit.
一切眾生皆有佛性，皆得成佛	all sentient beings have the buddha-nature, and can all attain buddhahood
"一寺九門天下少，
兩廊十殿世間稀"	A temple with nine gateways and ten halls is a rarity in the world.
一悟明大千	the great illumination of the universe
一醉解千愁	the state of drunkenness to escape reality
以出世的思想做入世的事業	engage in worldly pursuits with a detached perspective
以法為家	to take the Dharma as one’s home
以和為貴	Peace is priceless.
以人為本、以眾為我	to put others before oneself and treat others as oneself
以師志為己志，師心為己心	regarding our teacher’s aspirations and mindset as our own
以無情對有情，以無理對有理	treat what is sentimental by being unfeeling, and deal with what is reasonable by being unreasonable
一筆字書法展	One-Stroke Calligraphy Exhibition
一闡提也能成佛	even icchantikas can attain buddhahood
一等教育專業獎章	First-Class Professional Education Medal
一江春水向東流	A river of spring water flowing east.
一時	one time
一頭霧水	Misty-Minded
義工護照	volunteer passport
義工菩薩	volunteer bodhisattvas
因果不二	cause and effect are non-dual
因緣和合	dependent on causes and conditions
因中有果，果中有因	Every cause will yield an effect, and every effect will give rise to a new cause.
應身	manifest body
友善校園獎—卓越學校	Friendly Campus Award for Outstanding Schools
有容乃大	Tolerance Makes Greatness
有捨才能得	To give is to gain
有形歸無形、有為歸無為	All forms can be seen as formless, and all conditioned phenomena as unconditioned.
"1) 有衣有食為何因？
前世茶飯施貧人
2) 無食無穿為何因？
前世未施半分文
3) 穿綢穿緞為何因？
前世施衣濟僧人
4) 相貌端嚴為何因？
前世採花供佛前"	"1) Why is that one has clothes and food? It results fromoffering tea and rice to the poor in the past. 
2) Why is that one does not have clothes and food? It results from not even offering half a coin in the past.
3) Why is that one can wear silk and satin? It results from offering robes to monastics in the past. 
4) Why is that one has dignified features? It results from offering flowers to the buddhas in the past."
愚者也有一得	even a fool can provide one good advice
雨花精舍	Yuhua Vihara
與佛同行	Walk With the Buddha
與佛同行—發現佛陀的故鄉	Walking with the Buddha: Discovering the Natal Landscape of the Buddha Exhibition
"欲知前世因，今生受者是
欲知來世果，今生做者是"	"Present life experiences are the results of deeds in the past life.
Present life deeds will be the cause of future life experiences."
"鬱鬱黃花無非般若
青青翠竹皆是法身"	"Luxuriant yellow flowers are nothing but prajna.
Lush green bamboos are the wondrous Truth."
冤親	foes and kin
緣結十方	Develop Connections with All
"願斷一切惡
願修一切善
誓度一切眾"	"I vow to eradicate all unwholesomeness,
I vow to practice all wholesomeness,
I vow to liberate all beings."
雲端浴佛	Fo Guang Shan Virtual Bathing of the Buddha
雲水僧	itinerant monastic
雲水自在　祥和歡喜	May You Be Free as Cloud and Water, Auspicious and Joyful
"在家懶惰，失於俗利
出家懈怠，喪於法寶"	"If laypeople are lazy, they lose the benefits of the mundane world.
If monastics are indolent, they lose the Dharma Gem."
在家信眾	lay devotees
早安佛光	“Good Morning Fo Guang”
"責人之心責己
恕己之心恕人"	"Reproach yourself the way you reproach others;
Forgive others the way you forgive yourself"
齋姑	zhaigu
齋會	vegetarian meal assembly
朝朝共佛起，夜夜伴佛眠	Wake up with the Buddha every morning, and fall asleep with the Buddha every evening.
真空生妙有	wondrous existence arises from true emptiness
正思、善思、淨思、細思	reflect correctly, skillfully, purely, and comprehensively
正行	right action
"知足之人，雖臥地上，猶如天堂
不知足者，雖處天堂，亦如地獄"	"A contented person, though they may sleep on the floor, would still feel like they were in heaven. 
A discontented person, though in heaven, would still feel like they were in hell."
直下承擔	1. shoulder the responsibility; 2. Immediate Acceptance of Responsibilities
直指人心，見性成佛	directly point to one’s mind, and see one’s nature to attain buddhahood
止住	abide
智慧權巧	skillful wisdom
中華傳統宗教總會幹部成長營	Chunghua Federation of Traditional Religious Associations Leadership Training Seminar
"中華團結
萬家生佛
社會和諧
人民安樂"	Unity of the Chinese people, let there be Buddha in every family, social harmony, and happiness for the people.
"終日尋春不見春
芒鞋踏破嶺頭雲
歸來偶把梅花嗅
春在枝頭已十分"	"1. Spending all day looking for spring without seeing spring;
Wearing out the straw sandals on these cloudy peaks.
Upon return, I casually sniff the plum blossoms;
Only to realize that Spring is already fully on the branch tips.;
2. The whole day spent looking for spring but not seeing spring;
Straw sandals worn out on cloud-covered peaks.
Return to casually sniff the plum blossoms;
Spring is already fully on the branch tips."
種善因得善果、種惡因得惡果	wholesome causes reap wholesome effects, while unwholesome causes reap unwholesome effects
"種一收十
種十收百"	"Plant one and harvest ten;
Plant ten and harvest a hundred"
眾人不請，友而安之	be a friend who offers support without being expected
眾緣和合	conditions will come together; harmonious coexistence; harmony and unity
"諸惡莫作
眾善奉行
自淨其意
是諸佛教"	"Do nothing that is unwholesome.
Do all that is wholesome.
Purify the mind.
This is the teaching of all buddhas."
"轉惡為善、轉迷為悟、
轉妄為真、轉識成智。"	Transform a mind of unwholesomeness to wholesomeness, ignorance to enlightenment, delusion to the truth, and consciousness into wisdom.
自度度他，自利利人	simultaneously liberate and benefit self and others
自覺、覺他、覺行圓滿	the awakening of self, the awakening of others, and the awakening of perfected conduct
自覺行佛	Self-Awareness and Practice the Buddha’s Way
自行三寶	Intrinsic Triple Gem
自性三寶	Intrinsic Triple Gem
"宗教融和—
世界神明聯誼會論文集"	Religious Syncretism: Collection of Papers on When Buddha Meets the Gods Event
"走出去，就有希望
走出去，就有未來"	Hope and a bright future come with willingness to reach out.
最初三寶	the Original Triple Gem
尊證師	Witnessing Masters
"昨日之我，已非今日之我
今日之我，亦非明日之我"	"I am not who I was yesterday.
I am not who I will be tomorrow."
"坐破蒲團不用功
何時及第悟心空"	"Try meditating absent-mindedly and wear out the sitting mat;
See if emptiness and enlightenment are ever within reach."
作息	routines
一心	single-mindedly
一心一意	single-mindedness
一心不亂	state of undisturbed single-mindedness
一心不二	single-mindedly
一念三千	The Three Thousand Realms are Within One Moment of Thought
一念之間	A Moment of Thought
一水四見	The Same Water Is Perceived in Four Ways
一滴水	A Drop of Water
三學增上	The Threefold Training Helps One Advance
上善若水	The Highest Form of Benevolence Is Gentle Like Water
不二法門	The Dharma Gate of Non-Duality
不忘初心	Never Forget One’s Initial Aspirations
